A = 0010111111 , B= 0000011000 , Q = 0001111111 
A = 0001101000 , B= 0000010000 , Q = 0001101000 
A = 0011110001 , B= 0000010000 , Q = 0011110001 
A = 0010111111 , B= 0000011000 , Q = 0001111111 
A = 0000111001 , B= 0000011000 , Q = 0000100110 
A = 0100100001 , B= 0000001000 , Q = OVERFLOW! 
A = 0110100000 , B= 0000010000 , Q = 0110100000 
A = 0111100000 , B= 0000010000 , Q = 0111100000 
A = 0010010101 , B= 0000011000 , Q = 0001100011 
A = 0100010000 , B= 0000001000 , Q = OVERFLOW! 
A = 0111101111 , B= 0000010000 , Q = 0111101111 
A = 0110001001 , B= 0000010000 , Q = 0110001001 
A = 0010000000 , B= 0000001000 , Q = 0100000000 
A = 0001000101 , B= 0000001000 , Q = 0010001010 
A = 0110001001 , B= 0000010000 , Q = 0110001001 
A = 0010001010 , B= 0000011000 , Q = 0001011100 
A = 0011111011 , B= 0000011000 , Q = 0010100111 
A = 0001000001 , B= 0000001000 , Q = 0010000010 
A = 0101110111 , B= 0000010000 , Q = 0101110111 
A = 0001100011 , B= 0000010000 , Q = 0001100011 
A = 0001001111 , B= 0000011000 , Q = 0000110100 
A = 0101010100 , B= 0000001000 , Q = OVERFLOW! 
A = 0111111111 , B= 0000001000 , Q = OVERFLOW! 
A = 0011000101 , B= 0000010000 , Q = 0011000101 
A = 0011010011 , B= 0000001000 , Q = 0110100110 
A = 0111011001 , B= 0000010000 , Q = 0111011001 
A = 0111001110 , B= 0000011000 , Q = 0100110100 
A = 0010111111 , B= 0000001000 , Q = 0101111110 
A = 0111111010 , B= 0000011000 , Q = 0101010001 
A = 0101110010 , B= 0000001000 , Q = OVERFLOW! 
A = 0001000101 , B= 0000010000 , Q = 0001000101 
A = 0010110111 , B= 0000011000 , Q = 0001111010 
A = 0001000100 , B= 0000010000 , Q = 0001000100 
A = 0100011011 , B= 0000010000 , Q = 0100011011 
A = 0101110001 , B= 0000011000 , Q = 0011110110 
A = 0001110010 , B= 0000001000 , Q = 0011100100 
A = 0110000010 , B= 0000011000 , Q = 0100000001 
A = 0110110011 , B= 0000010000 , Q = 0110110011 
A = 0101111100 , B= 0000011000 , Q = 0011111101 
A = 0110100001 , B= 0000010000 , Q = 0110100001 
A = 0001001101 , B= 0000010000 , Q = 0001001101 
A = 0101011101 , B= 0000010000 , Q = 0101011101 
A = 0111111011 , B= 0000011000 , Q = 0101010010 
A = 0110101011 , B= 0000001000 , Q = OVERFLOW! 
A = 0011011010 , B= 0000011000 , Q = 0010010001 
A = 0101100101 , B= 0000001000 , Q = OVERFLOW! 
A = 0110001100 , B= 0000010000 , Q = 0110001100 
A = 0001001100 , B= 0000011000 , Q = 0000110010 
A = 0101010111 , B= 0000001000 , Q = OVERFLOW! 
A = 0001111011 , B= 0000001000 , Q = 0011110110 
A = 0100111100 , B= 0000011000 , Q = 0011010010 
A = 0001100100 , B= 0000011000 , Q = 0001000010 
A = 0010111000 , B= 0000010000 , Q = 0010111000 
A = 0101110001 , B= 0000010000 , Q = 0101110001 
A = 0010001011 , B= 0000010000 , Q = 0010001011 
A = 0001111111 , B= 0000001000 , Q = 0011111110 
A = 0101011101 , B= 0000011000 , Q = 0011101000 
A = 0010111001 , B= 0000010000 , Q = 0010111001 
A = 0010110000 , B= 0000010000 , Q = 0010110000 
A = 0011010001 , B= 0000010000 , Q = 0011010001 
A = 0000111000 , B= 0000001000 , Q = 0001110000 
A = 0101100111 , B= 0000001000 , Q = OVERFLOW! 
A = 0100111111 , B= 0000011000 , Q = 0011010100 
A = 0010110110 , B= 0000001000 , Q = 0101101100 
