A = 0001100010 , B= 0001010111 , Q = 0000010010 
A = 0000100010 , B= 0001101111 , Q = 0000000100 
A = 0001001100 , B= 0000000101 , Q = 0011110011 
A = 0000001101 , B= 0000111001 , Q = 0000000011 
A = 0001001110 , B= 0001010001 , Q = 0000001111 
A = 0000100001 , B= 0000100111 , Q = 0000001101 
A = 0001101010 , B= 0001100111 , Q = 0000010000 
A = 0001111011 , B= 0001101001 , Q = 0000010010 
A = 0000111110 , B= 0001101011 , Q = 0000001001 
A = 0000001010 , B= 0001000101 , Q = 0000000010 
A = 0000000111 , B= 0001000110 , Q = 0000000001 
A = 0001011100 , B= 0000111100 , Q = 0000011000 
A = 0001011110 , B= 0000100110 , Q = 0000100111 
A = 0000111001 , B= 0001010001 , Q = 0000001011 
A = 0001001110 , B= 0001011111 , Q = 0000001101 
A = 0001111100 , B= 0000000100 , Q = 0111110000 
A = 0001100100 , B= 0001110011 , Q = 0000001101 
A = 0001101000 , B= 0001101010 , Q = 0000001111 
A = 0000010000 , B= 0001111001 , Q = 0000000010 
A = 0000011111 , B= 0000101110 , Q = 0000001010 
A = 0001100011 , B= 0001111001 , Q = 0000001101 
A = 0000000000 , B= 0001011011 , Q = 0000000000 
A = 0000111110 , B= 0000001111 , Q = 0001000010 
A = 0001001000 , B= 0001001101 , Q = 0000001110 
A = 0000010111 , B= 0001100011 , Q = 0000000011 
A = 0001010110 , B= 0001110101 , Q = 0000001011 
A = 0000101000 , B= 0000011010 , Q = 0000011000 
A = 0001101001 , B= 0001001100 , Q = 0000010110 
A = 0000010101 , B= 0001010101 , Q = 0000000011 
A = 0000100000 , B= 0001101101 , Q = 0000000100 
A = 0001010100 , B= 0001110100 , Q = 0000001011 
A = 0001101111 , B= 0001000111 , Q = 0000011001 
A = 0000101100 , B= 0000100101 , Q = 0000010011 
A = 0000000111 , B= 0001010011 , Q = 0000000001 
A = 0000101010 , B= 0001010010 , Q = 0000001000 
A = 0000001111 , B= 0000110011 , Q = 0000000100 
A = 0000000010 , B= 0001110111 , Q = 0000000000 
A = 0001111100 , B= 0000000111 , Q = 0100011011 
A = 0001000010 , B= 0001100010 , Q = 0000001010 
A = 0001111001 , B= 0000110001 , Q = 0000100111 
A = 0001000101 , B= 0001110110 , Q = 0000001001 
A = 0001110100 , B= 0001011101 , Q = 0000010011 
A = 0001001000 , B= 0000100110 , Q = 0000011110 
A = 0001000011 , B= 0001011101 , Q = 0000001011 
A = 0000000101 , B= 0001111100 , Q = 0000000000 
A = 0001101000 , B= 0000010011 , Q = 0001010111 
A = 0000100101 , B= 0001000100 , Q = 0000001000 
A = 0000100101 , B= 0000100100 , Q = 0000010000 
A = 0001101101 , B= 0001010110 , Q = 0000010100 
A = 0000110100 , B= 0000001011 , Q = 0001001011 
A = 0001110100 , B= 0000101110 , Q = 0000101000 
A = 0000001110 , B= 0000001101 , Q = 0000010001 
A = 0000000100 , B= 0000010000 , Q = 0000000100 
A = 0001000010 , B= 0000001001 , Q = 0001110101 
A = 0001011011 , B= 0001011110 , Q = 0000001111 
A = 0000111010 , B= 0000110000 , Q = 0000010011 
A = 0000011110 , B= 0000111111 , Q = 0000000111 
A = 0000111111 , B= 0000011100 , Q = 0000100100 
A = 0000010101 , B= 0001111110 , Q = 0000000010 
A = 0001010000 , B= 0000101001 , Q = 0000011111 
A = 0000101110 , B= 0000111000 , Q = 0000001101 
A = 0000110100 , B= 0000100100 , Q = 0000010111 
A = 0001010010 , B= 0001100000 , Q = 0000001101 
A = 0001111001 , B= 0001010001 , Q = 0000010111 
A = 0000111100 , B= 0000001100 , Q = 0001010000 
A = 0000000101 , B= 0000111000 , Q = 0000000001 
A = 0000011100 , B= 0001111111 , Q = 0000000011 
A = 0000011011 , B= 0000101011 , Q = 0000001010 
A = 0001101110 , B= 0000000011 , Q = 1001001010 
A = 0001111100 , B= 0001101010 , Q = 0000010010 
A = 0001100101 , B= 0001100101 , Q = 0000010000 
A = 0001011111 , B= 0001000001 , Q = 0000010111 
A = 0000000001 , B= 0000000111 , Q = 0000000010 
A = 0000001100 , B= 0001100010 , Q = 0000000001 
A = 0000011010 , B= 0001011011 , Q = 0000000100 
A = 0000001110 , B= 0000111000 , Q = 0000000100 
A = 0000000010 , B= 0000100001 , Q = 0000000000 
A = 0000011001 , B= 0001011111 , Q = 0000000100 
A = 0001110100 , B= 0001100011 , Q = 0000010010 
A = 0000011101 , B= 0000000101 , Q = 0001011100 
A = 0000010001 , B= 0001011010 , Q = 0000000011 
A = 0001001011 , B= 0000111011 , Q = 0000010100 
A = 0001110011 , B= 0000010110 , Q = 0001010011 
A = 0000111111 , B= 0000100100 , Q = 0000011100 
A = 0000000110 , B= 0000001000 , Q = 0000001100 
A = 0001100110 , B= 0000100000 , Q = 0000110011 
A = 0000010110 , B= 0000000111 , Q = 0000110010 
A = 0001011011 , B= 0000001111 , Q = 0001100001 
A = 0001110011 , B= 0001101100 , Q = 0000010001 
A = 0000001011 , B= 0001011011 , Q = 0000000001 
A = 0001110010 , B= 0000100000 , Q = 0000111001 
A = 0000011101 , B= 0000000111 , Q = 0001000010 
A = 0001100001 , B= 0000110100 , Q = 0000011101 
A = 0000110100 , B= 0001001001 , Q = 0000001011 
A = 0001001001 , B= 0000100000 , Q = 0000100100 
A = 0001010100 , B= 0000010000 , Q = 0001010100 
A = 0001010101 , B= 0001000011 , Q = 0000010100 
A = 0000000011 , B= 0000000110 , Q = 0000001000 
A = 0001000101 , B= 0001000010 , Q = 0000010000 
A = 0000111001 , B= 0000111100 , Q = 0000001111 
